Transaction  #,Transaction Date,Transaction Month,Transaction Year,Item  #,Style  #,Description,VendorModel1,Vendor Name,Qty,Inventory Cost,Sales Amount,Disc Amt,Total,Store,Department,Design,Class,Sub-Class,Image Dir.,AvgWeight,Pay Codes,,
VF-10292889,46245,8,2026,237408Y,EVRE-23812VXA34W4-44,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND PRINCESS BRIDAL RING",EVRE-23812VXA34W4,HRSH,1,924,10995,8687.66,2307.34,VJ-FRE,LADYS RING,NOVELLO,14KT,7,\225001.jpg,5.2,"VJF-IDDEAL,",,
VF-10292889,46245,8,2026,ITEM,ITEM,APROVE LV/AJ  ADDEAL 18/0,,,1,0,0,0,0,VJ-FRE,,,,,,0,"VJF-IDDEAL,",,
DB-10000148,46245,8,2026,12014KY03,12014KY03,"14KT ""BENCHMARK""  GOLD BAND 2MM",12014KY03,BENCHMARK,1,182,819,521.24,297.76,VJ-DEER,GOLD BANDS,PLAIN,14KT,3,\101.JPG,0,,,
DB-10000148,46245,8,2026,SLCF15014KY05.5,SLCF15014KY05.5,"14KT""BENCHMARK""  SUPER LIGHT GOLD BAND 5MM",SLCF15014KY05.5,BENCHMARK,1,383,1724,1021.76,702.24,VJ-DEER,GOLD BANDS,PLAIN,14KT,5.5,\SL3.JPG,0,,,
DB-10000148,46245,8,2026,12014KY05,12014KY05,"14KT ""BENCHMARK""  GOLD BAND 2MM",12014KY05,BENCHMARK,-1,182,-819,-521.24,-297.76,VJ-DEER,GOLD BANDS,PLAIN,14KT,5,\101.JPG,0,,,
DB-10000148,46245,8,2026,SLCF15014KY09,SLCF15014KY09,"14KT""BENCHMARK"" SUPER LIGHT GOLD BAND 5MM",SLCF15014KY09,BENCHMARK,-1,432,-1944,-1241.76,-702.24,VJ-DEER,GOLD BANDS,PLAIN,14KT,9,\SL3.JPG,4,,,
CL-10290979,46245,8,2026,238868Y,CRUZAF0046,"10KT""BELLA.BY.OVANI""  LABGROWN DIAMOND CROSS PENDANT",CRUZAF0046,INFN,1,133,1799,1455.88,343.12,VJ-CULVER,PENDANT,BELLA OVAN,10KT,CROSS,\238868Y.jpg,0.9,"VJCL-CASH,VJCL-CC,",,
CL-10290979,46245,8,2026,ITEM,ITEM,app sm2,,,1,0,0,0,0,VJ-CULVER,,,,,,0,"VJCL-CASH,VJCL-CC,",,
ON-10292257,46245,8,2026,ITEM,ITEM,APP RM7/SM2,,,1,0,0,0,0,VJ-ONT,,,,,,0,"VJON-CC,",,
ON-10292257,46245,8,2026,ITEM,ITEM,10K FIEGRO BRA #234921-8.5,,,1,0,469,0,469,VJ-ONT,,,,,,0,"VJON-CC,",,
RE-10292524,46245,8,2026,ITEM,ITEM,"14KT""BENCHMARK""  GOLD BAND 6.5MM ITEM CF846539714KY10.5",,,1,0,6773,3723,3050,VJ-RENO,,,,,,0,,,
RE-10292524,46245,8,2026,ITEM,ITEM,ITEM 173364 TUNGSTEN CARBIDE BAND 8MM ( LOANER TUNGSTEN BAND - CUSTOMER WILL RETURN THIS ITEM WHEN PICKUP THE ORIGINALS ),,,1,0,0,0,0,VJ-RENO,,,,,,0,,,
RE-10292524,46245,8,2026,201130,TR-722-2,TUNGSTEN CARBIDE BAND 8MM,TR-722,JD,-1,15,-299,-199,-100,VJ-RENO,TUNGS BAND,,,10,\TR722.JPG,0,,,
RE-10292524,46245,8,2026,CF846539714KY10,CF846539714KY10,"14KT""BENCHMARK""  GOLD BAND 6.5MM",CF846539714KY10,BENCHMARK,-1,1505,-6773,-3723,-3050,VJ-RENO,GOLD BANDS,DESIGNER,14KT,10,\CF6.JPG,0,,,
RE-10292524,46245,8,2026,ITEM,ITEM,TUNGSTEN CARBIDE BAND 8MM ITEM 201130 SIZE 10.5,,,1,0,299,199,100,VJ-RENO,,,,,,0,,,
PB-10291579,46245,8,2026,ITEM,ITEM,app ms3,,,1,0,0,0,0,VJ-PB,,,,,,0,"VJPB-CASH,",,
PB-10291579,46245,8,2026,183289R,R196500W7-1,"14KT""NOVELLO-COLLECTION""  LABGROWN DIAMOND ANNIVERSARY BAND",R196500W7,PNT,1,151,1799,1431.18,367.82,VJ-PB,LADYS RING,NOVELLO,AB,,\183289.jpg,1.56,"VJPB-CASH,",,
SR-10291404,46245,8,2026,MLB-5Y-4000,MB,"Mulberry 60 Month Care Plan ($3,000-$3,999.99)",,,1,176,439.99,19.99,420,VJ-S.ROSA,,,,,,0,"VJSR-IDEAL,",,
SR-10291404,46245,8,2026,ITEM,ITEM,IDDEAL 24/00,,,1,0,0,0,0,VJ-S.ROSA,,,,,,0,"VJSR-IDEAL,",,
SR-10291404,46245,8,2026,240195,MV290W-3,"14KT""OVANI-COLLECTION""  IGI CERT LABGROWN DIAMOND HIDDEN HALO ELONGATED CUSHION BRIDAL SET",MV290W,VSU,1,970,11995,8000,3995,VJ-S.ROSA,LADYS RING,OVANI,14KT,7,\237156.jpg,5.5,"VJSR-IDEAL,",,
AR-10292088,46245,8,2026,238534-20,BA17911/GOLD,"SS""LINKNLOCK""  GOLD BOX LINK CHAIN",BA17911/GOLD,SRH,1,4,49,9.8,39.2,VJ-ARDN,SS CHAIN,LINKNLOCK,-,,\238534.jpeg,14,"VJA-CC,",,
AR-10292088,46245,8,2026,238557-24,BA18370/GOLD-2,"SS""LINKNLOCK"" ROPE CHAIN",BA18370/GOLD,SRH,1,6,59,11.8,47.2,VJ-ARDN,SS CHAIN,LINKNLOCK,-,,\238557.png,18,"VJA-CC,",,
AR-10292088,46245,8,2026,ITEM,ITEM,APP/TL1,,,1,0,0,0,0,VJ-ARDN,,,,,,0,"VJA-CC,",,
CH-10002453,46245,8,2026,229161S,MBG05000049,SILVER LABGROWN DIAMOND LOVE-SPELL DIAMOND BANGLE,MBG05000049,MHVR,1,65,389,0,389,VJ-CHAND,BANGLE,LOVE,"""--""",,\229161S.jpg,5.9,"VJCH-CC,",,
NO-10001308,46245,8,2026,042429548015,98A179,BULOVA  WATCH,98A179,BULOVA,1,368.12,775,150,625,VJ-NORTH,BULOVA,WATCH,MENS,AUTOMATIC,\98A179.JPG,0,"VJNR-ACIMA,",,
NO-10001308,46245,8,2026,ITEM,ITEM,APP JG4<ADI - FIN ACIMA,,,1,0,0,0,0,VJ-NORTH,,,,,,0,"VJNR-ACIMA,",,
DB-10000149,46245,8,2026,ITEM,ITEM,APP/CC3,,,1,0,0,0,0,VJ-DEER,,,,,,0,"DB-CC,",,
DB-10000149,46245,8,2026,ITEM,ITEM,97L176,,,1,0,550,135.21,414.79,VJ-DEER,,,,,,0,"DB-CC,",,
VV-10292334,46245,8,2026,ITEM,ITEM,KAFENE 3 MONTHS SAME AS CASH (855) 206-4040,,,1,0,0,0,0,VJ-VIS,,,,,,0,"VJV-KAFE,",,
VV-10292334,46245,8,2026,224452-26,CMM 050 8L-6,"SILVER ""LINKNLOCK"" ROPE CHAIN",CMM 050 8L,COAR,1,76,304,0,304,VJ-VIS,SLVR CHAIN,LINKNLOCK,-,26,\224443-7.jpg,13.4,"VJV-KAFE,",,
RE-10292522,46245,8,2026,ITEM,ITEM,CUSTOM CHEVRON SHAPED NON SOLDERED PLATINUM RING GUARD WITH RING SIZE 5.5,,,1,0,4200,0,4200,VJ-RENO,,,,,,0,"VJRE-CC,",,
VV-10292333,46245,8,2026,ITEM,ITEM,PUT EXTENDER ON BRACELET,,,1,0,0,0,0,VJ-VIS,,,,,,0,"VJV-CC,",,
VV-10292333,46245,8,2026,ITEM,ITEM,STULLER-23189:296737:S SILVERCURB CHAIN EXTENDER 2 1/4 INCH,,,1,0,25,0,25,VJ-VIS,,,,,,0,"VJV-CC,",,
VR-102291250,46245,8,2026,228176,228176,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",LGE+EME2.00,KRA,1,556,10995,8628.41,2366.59,VJ-ROSE,LADYS RING,NOVELLO,SOL RING,2.00 CARAT,,0,"VJR-CC,",,
VR-102291250,46245,8,2026,ITEM,ITEM,APP TL1,,,1,0,0,0,0,VJ-ROSE,,,,,,0,"VJR-CC,",,
HE-10001510,46245,8,2026,233042R,PL256040LW-2,"10KT""BELLA.BY.OVANI""  LABGROWN DIAMOND DOUBLE HEART PENDANT",PL256040LW,PNT,1,150,1699,1399,300,VJ-HEND,PENDANT,BELLA OVAN,10KT,HEART,\233042.jpg,1.5,"HD-CC,",,
HE-10001510,46245,8,2026,ITEM,ITEM,App/sm2,,,1,0,0,0,0,VJ-HEND,,,,,,0,"HD-CC,",,
ON-10292259,46245,8,2026,ITEM,ITEM,APP RM7/SM2 IDEAL 12/0,,,1,0,0,0,0,VJ-ONT,,,,,,0,"VJON-IDEAL,",,
ON-10292259,46245,8,2026,162088Y,CO-P184195-1,14KT FRESHWATER PEARL PENDANT,CO-P184195,PNT,1,399,4799,3787.51,1011.49,VJ-ONT,BP,B STONE,PEARL,BIRTHSTONE,\162088y.jpg,2.85,"VJON-IDEAL,",,
VI-10292725,46245,8,2026,ITEM,ITEM,APP SM2,,,1,0,0,0,0,VJ-VICTOR,,,,,,0,"VJVIC-CASH,",,
VI-10292725,46245,8,2026,236202Y,EVRE-25988VA34W0-1,"10KT""ETERNAL VOW""  LABGROWN DIAMOND PROMISE RING",EVRE-25988VA34W0,HRSH,1,310,3499,2809.34,689.66,VJ-VICTOR,LADYS RING,NOVELLO,10KT,7,\236202.jpg,3.25,"VJVIC-CASH,",,
VI-10292725,46245,8,2026,150369,TR-132-4,"TUNGSTEN CARBIDE  BAND 8MM ""NO WARRANTY ON COLOR""",TR-132,JD,1,10,299,207.05,91.95,VJ-VICTOR,TUNGS BAND,,,10,\150365.JPG,0,"VJVIC-CASH,",,
IN-10291200,46245,8,2026,238548,BA18324,"SS""LINKNLOCK""  COMPASS PENDANT",BA18324,SRH,1,5,59,0,59,VJ-INLND,SS PNDTS,LINKNLOCK,-,,\238548.png,12,"VJI-CC,",,
FA-10291478,46245,8,2026,219670-22,KKJ8771,22KT YELLOW-GOLD SOLID MIAMI CUBAN CHAIN,KKJ8771,KGS,1,8332,41658,27567.09,14090.91,VJ-VAL,GOLD CHAIN,GOLD JEWL,21-24KT,22,\219670-22.jpg,52.4,"VJVF-CC,",,
FA-10291478,46245,8,2026,ITEM,ITEM,APP/AJ,,,1,0,0,0,0,VJ-VAL,,,,,,0,"VJVF-CC,",,
FA-10291478,46245,8,2026,242074,ER-ERBC2.00-11,"14KT""GIA-CERTIFIED""  RBC DIAMOND SOLITARE STUDS EARRINGS",ER-ERBC2.00,SHTL,-1,3970,-44995,-35904.09,-9090.91,VJ-VAL,EARRINGS,NATURAL,SOL STUDS,2.00 CARAT,,0,"VJVF-CC,",,
FA-10291478,46245,8,2026,241433Y,JRS924246G4WXLBQ4-13,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND MARQUISE BRIDAL SET",JRS924246G4WXLBQ4,KMA,-1,1275,-17995,-13995,-4000,VJ-VAL,LADYS RING,NOVELLO,14KT,7,\240986.jpeg,7.75,"VJVF-CC,",,
VO-10292379,46245,8,2026,ITEM,ITEM,14KT INITIAL B PENDANT 189602Y,,,1,0,1399,1000,399,VJ-OAK,,,,,,0,"VJO-IDDEAL,",,
VO-10292379,46245,8,2026,198272Y,P206375W-1,10KT HEART CROSS PENDANT,P206375W,PNT,1,126,1599,1100,499,VJ-OAK,PENDANT,,10KT,CROSS,\198272.JPG,2.2,"VJO-IDDEAL,",,
VO-10292379,46245,8,2026,ITEM,ITEM,00/12  IDDEAL,,,1,0,0,0,0,VJ-OAK,,,,,,0,"VJO-IDDEAL,",,
