Department,Design,Class,Sub-Class,Item  #,Style  #,Vendor Model  #,Vendor  #,Item Desc,Store,Individual Cost Value,On-hand,Individual Selling Value,Image Dir.,AvgWeight,Create Date,Whole Cost
LADYS RING,NATURAL,SOL RING,0.99 LESS,205450,205450,EPC0.70,RPNT,"14KT""GIA-CERTIFIED""  LADYS RING",VJ-CULVER,1665,1,18499,,0,7/20/2023,2102.16
LADYS RING,NATURAL,SOL RING,1.00 CARAT,202136,202136,SRBC1.00,RMY,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",VJ-LONG,1372,1,16995,,2.5,4/10/2023,1931.25
LADYS RING,NATURAL,SOL RING,0.75 LESS,135143,135143,SPC0.75,SPNL,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",VJ-RENO,990,1,10499,,0,9/14/2020,1193.07
LADYS RING,NATURAL,SOL RING,0.99 LESS,207743,207743,S+PC0.90,SHTL,"14KT""GIA-CERTIFIED""  PC DIAMOND SOLITARE RING",VJ-BAKER,1097,1,12995,,0,10/12/2023,1476.70
LADYS RING,NATURAL,SOL RING,0.50 LESS,112874,112874,S+RBC0.40,MDNI,"14KT""INT-CERTIFIED"" SOLITAIRE RING",MAIN,456,1,5199,,0,9/14/2020,590.80
LADYS RING,NATURAL,SOL RING,1.00 CARAT,167159,167159,S+RBC1.00,YRSH,"14KT""INT-CERTIFIED"" SOLITAIRE RING",VJ-SAL,2235,1,26995,,0,9/11/2020,3067.61
LADYS RING,NATURAL,SOL RING,1.00 CARAT,207142,207142,FOVA1.00,DHRM,"14KT""AGI-CERTIFIED""  OVAL DIAMOND SOLITAIRE RING",DBC-STOCK,1098,1,12995,,0,9/22/2023,1476.70
LADYS RING,NOVELLO,SOL RING,2.00 CARAT,213521,213521,LGE+RBC2.00,ASH,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-SERRA,730,1,12995,,2.8,5/16/2024,1476.70
LADYS RING,NOVELLO,SOL RING,0.75 LESS,178701,178701,LGE+PC0.50,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-SOLANO,401,1,5995,,2.1,12/3/2020,681.25
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,186712,186712,LGE+RBC1.00,FLK,"99120099""14KT""NOVELLO-COLLECTION""  GIA CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-VIS,958,1,8995,,1.5,8/26/2021,1022.16
LADYS RING,NOVELLO,SOL RING,2.50 CARAT,216963,216963,LGE+EME2.50,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-CHAND,690,1,9995,,0,8/24/2024,1135.80
LADYS RING,NOVELLO,SOL RING,6.00 CARAT,212481,212481,LGEOVA6.00,DBN,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-RENO,2014,1,30995,\212481.webp,0,3/14/2024,3522.16
LADYS RING,NATURAL,SOL RING,1.50 CARAT,167212,167212,SRBC1.50,YRSH,"14KT""INT-CERTIFIED"" SOLITAIRE RING",VJ-DEER,2868,1,31995,,0,7/12/2019,3635.80
LADYS RING,NATURAL,SOL RING,0.99 LESS,130948,130948,SRBC0.75,SUN,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",MAIN,2666,1,26995,,0,9/14/2020,3067.61
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,213650,213650,LGE+RBC1.00,ASH,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-NORTH,472,1,6995,,1.5,5/16/2024,794.89
LADYS RING,NATURAL,SOL RING,0.75 LESS,207753,207753,S+PC0.70,SHTL,"14KT""GIA-CERTIFIED""  PC DIAMOND SOLITARE RING",VJ-BAKER,782,1,8995,,0,10/12/2023,1022.16
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,214330,214330,LGE+RBC1.00,ASH,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-SAL,485,1,7995,,1.5,6/10/2024,908.52
LADYS RING,NATURAL,SOL RING,1.00 CARAT,124166,124166,S+RBC1.25,RPNT,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",VJ-VIS,3334,1,36995,,0,3/13/2015,4203.98
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,180200,180200,LGE+RBC1.00,FLK,"99120099""14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",MAIN,1210,1,10995,,1.5,12/31/2020,1249.43
LADYS RING,NOVELLO,SOL RING,3.00 CARAT,216990,216990,LGE+EME3.00,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-S.ANITA,880,1,12995,,0,8/24/2024,1476.70
EARRINGS,NOVELLO,,,191411,191411,ER-LGEPC1.70,FLK,"14KT""NOVELLO-COLLECTION""  99350099 AGI CERT LABGROWN SOLITAIRE STUDS",VJ-EAST,1383,1,19995,\191411.webp,0,3/15/2022,2272.16
LADYS RING,NATURAL,SOL RING,0.75 LESS,123677,123677,E+RBC0.75,RPNT,"18KT""GIA-CERTIFIED"" SOLITAIRE RING",VJ-VIS,2570,1,28399,,0,1/8/2015,3227.16
LADYS RING,NATURAL,SOL RING,2.00 CARAT,187632,187632,ERBC2.25,DHRM,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",VJ-DEER,5073,1,59995,,0,10/19/2021,6817.61
LADYS RING,NATURAL,SOL RING,1.50 CARAT,120719,120719,FRBC1.75,AMT,AGI CERTIFIED SOLITAIRE RING,VJ-SOLANO,3100,1,37995,,0,12/17/2022,4317.61
LADYS RING,NATURAL,SOL RING,2.00 CARAT,187262,187262,ERBC2.00,SUN,"14KT""GIA-CERTIFIED""  SOLITAIRE RING",VJ-RENO,16987,1,186995,,0,9/21/2021,21249.43
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,188473,188473,LGE+RMB1.00,SPNL,"99120099""14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN SOLITAIRE RING",VJ-SERRA,990,1,6995,,0,11/20/2021,794.89
PENDANT,NOVELLO,SOL PNDT,1.00 CARAT,173947,173947,LGEPC1.30,FLK,"99100099""14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE PENDANT",DE-SOUTH,1008,1,9995,,0,8/17/2020,1135.80
LADYS RING,NATURAL,SOL RING,1.50 CARAT,202108,202108,SPEA1.50,RMY,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",VJ-CULVER,2758,1,30995,,0,4/10/2023,3522.16
LADYS RING,NATURAL,SOL RING,0.75 LESS,102184,102184,S+RBC0.70,AMT,SPL 99130099 EGL CERTIFIED DI.SOLITAIRE RING,MAIN,960,1,10995,\102184.webp,0,4/17/2012,1249.43
LADYS RING,NOVELLO,SOL RING,1.50 CARAT,175899,175899,LGSRBC1.50,FLK,"99120099""14KT""NOVELLO-COLLECTION""  AGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-CULVER,934,1,8995,,0,9/4/2020,1022.16
LADYS RING,NOVELLO,SOL RING,8.00 CARAT,212498,212498,LGEPEA8.00,DBN,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-MOD,2631,1,39995,,0,3/14/2024,4544.89
LADYS RING,NOVELLO,SOL RING,2.00 CARAT,178682,178682,LGE+OVA2.00,VSU,"99300099""14KT""NOVELLO-EVERLASTING""  IGI  LABGROWN DIAMOND SOLITAIRE RING",DBC-GM,4500,1,40995,,0,12/3/2020,4658.52
LADYS RING,NATURAL,SOL RING,1.00 CARAT,161402,161402,S+RBC1.00,YRSH,"14KT""INT-CERTIFIED"" SOLITAIRE RING",VJ-MOD,2206,1,24995,,0,11/29/2018,2840.34
LADYS RING,NATURAL,SOL RING,1.00 CARAT,174167,174167,E+RBC1.00,SUN,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",MAIN,5778,1,63995,,0,8/21/2020,7272.16
LADYS RING,NATURAL,SOL RING,1.00 CARAT,202143,202143,SRBC1.30,RMY,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",VJ-SOLANO,1724,1,20995,,0,4/10/2023,2385.80
LADYS RING,NOVELLO,SOL RING,3.00 CARAT,169209,169209,LGERBC3.00,ORI,"14KT""NOVELLO-COLLECTION""  AGI LABGROWN DIAMOND CERT SOLITAIRE RING",MAIN,4850,1,18995,,0,9/17/2019,2158.52
LADYS RING,NOVELLO,SOL RING,7.00 CARAT,212500,212500,LGEPEA10.00,DBN,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",MAIN,3271,1,36995,,0,3/14/2024,4203.98
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,213480,213480,LGE+RBC1.00,ASH,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",DBC-STOCK,485,1,6995,,1.5,5/16/2024,794.89
LADYS RING,NATURAL,SOL RING,0.75 LESS,151401,151401,EPC0.50,SPNL,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",MAIN,595,1,6599,,0,5/5/2017,749.89
LADYS RING,NATURAL,SOL RING,3.00 CARAT,179463,179463,SRBC3.00,DHRM,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",VJ-SAL,5400,1,79995,,0,12/8/2020,9090.34
LADYS RING,NOVELLO,SOL RING,2.00 CARAT,216662,216662,LGE+RBC2.00,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-LONG,842,1,11995,,2.8,8/24/2024,1363.07
LADYS RING,NATURAL,SOL RING,1.00 CARAT,163655,163655,SRBC1.00,HRSH,"14KT""AGI-CERTIFIED""  ROUND SOLITAIRE RING",VJ-VICTOR,2437,1,26995,,2.5,9/14/2020,3067.61
EARRINGS,OVANIFUSIO,18KT,,208282,208282,EDF13919-050-COMP,GM,"18KT""OVANI-FUSION""  LABGROWN DIAMOND CNTR DOUBLE HALO EARRINGS",VJ-SOLANO,1040,1,13499,\208282.webp,0,10/30/2023,1533.98
LADYS RING,NOVELLO,SOL RING,3.00 CARAT,214001,214001,LGE+OVA3.00,VSU,"14KT""NOVELLO-COLLECTION"" IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-S.ROSA,973,1,13995,,0,5/30/2024,1590.34
LADYS RING,NATURAL,SOL RING,2.00 CARAT,175685,175685,ERMB2.00,RPNT,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",VJ-RENO,9200,1,121995,,0,8/28/2020,13863.07
LADYS RING,NATURAL,SOL RING,0.75 LESS,136298,136298,SRBC0.75,BRN,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",VJ-DEER,758,1,6999,,0,9/14/2020,795.34
LADYS RING,NATURAL,SOL RING,2.00 CARAT,123662,123662,S+RBC2.00,RPNT,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",MAIN,14450,1,158995,,0,1/5/2015,18067.61
LADYS RING,NATURAL,SOL RING,0.50 LESS,112329,112329,SRBC0.50,MDNI,"14KT""AGI-CERTIFIED""  ROUND SOLITAIRE RING			",MAIN,689,1,5999,,0,8/17/2020,681.70
LADYS RING,NATURAL,SOL RING,0.75 LESS,156012,156012,SRBC0.75,HRSH,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",MAIN,1164,1,13499,,0,6/14/2019,1533.98
PENDANT,NOVELLO,SOL PNDT,2.00 CARAT,173702,173702,LGEEME2.00,FLK,"99210099""14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND",VJ-VAL,2139,1,19995,,2.8,2/14/2020,2272.16
LADYS RING,NATURAL,SOL RING,2.00 CARAT,174338,174338,ERBC2.00,SUN,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",MAIN,13809,1,151995,,0,7/6/2020,17272.16
LADYS RING,NATURAL,SOL RING,1.00 CARAT,174501,174501,E+RBC1.00,SUN,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",MAIN,6229,1,68995,,0,4/5/2024,7840.34
LADYS RING,NOVELLO,SOL RING,3.00 CARAT,213997,213997,LGE+OVA3.00,VSU,"14KT""NOVELLO-COLLECTION"" IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-INLND,967,1,13995,,0,5/30/2024,1590.34
LADYS RING,NOVELLO,SOL RING,1.50 CARAT,211584,211584,LGE+RAD1.50,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-SAL,615,1,7995,,0,1/25/2024,908.52
LADYS RING,NATURAL,SOL RING,0.75 LESS,207758,207758,S+PC0.70,SHTL,"14KT""GIA-CERTIFIED""  PC DIAMOND SOLITARE RING",VJ-BAKER,699,1,8499,,0,10/12/2023,965.80
LADYS RING,NOVELLO,SOL RING,9.00 CARAT,212527,212527,LGEPC9.00,DBN,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-SERRA,3014,1,51995,,0,3/14/2024,5908.52
LADYS RING,NATURAL,SOL RING,2.00 CARAT,207102,207102,SPC2.00,DHRM,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",VJ-DEER,4794,1,52995,,0,9/22/2023,6022.16
LADYS RING,NOVELLO,SOL RING,2.00 CARAT,213826,213826,LGE+RBC2.00,ASH,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-INLND,732,1,13995,,2.8,5/28/2024,1590.34
LADYS RING,NATURAL,SOL RING,1.00 CARAT,202120,202120,SEME1.00,RMY,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",VJ-HEND,1023,1,13995,,0,4/10/2023,1590.34
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,213648,213648,LGE+RBC1.00,ASH,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",MAIN,472,1,6995,,1.5,5/16/2024,794.89
LADYS RING,NATURAL,SOL RING,0.50 LESS,119476,119476,S+CUS0.50,TMR,"14KT""INT-CERTIFIED"" SOLITAIRE RING",MAIN,600,1,6599,,0,9/14/2020,749.89
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,216641,216641,LGE+RBC1.00,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-PALM,408,1,5995,,1.5,8/24/2024,681.25
