SKU  #,Vendor Model,Vendor  #,Item Desc,Store,Onhand Qty
194397,LGYELLOWCU1.50,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-ARDN,1
194303,LGERBC5.00,DBN,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-ARDN,1
174191,E+RBC1.00,SUN,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",VJ-ARDN,1
216870,LGE+PEA1.50,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-ARDN,1
191405,ER-LGEPC1.70,FLK,"14KT""NOVELLO-COLLECTION""  AGI CERT LABGROWN DIAMOND SOLITAIRE STUDS",VJ-ARDN,1
202140,ERBC1.00,RMY,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",VJ-ARDN,1
190424,LGE+EME5.00,FLK,"14KT""NOVELLO-COLLECTION""  EMERALD LABGROWN DIAMOND IGI CERTIFIED SOLITAIRE RING",VJ-ARDN,1
170262,SPC0.70,MDNI,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",VJ-ARDN,1
207760,S+PC0.70,SHTL,"14KT""GIA-CERTIFIED""  PC DIAMOND SOLITARE RING",VJ-ARDN,1
119480,E+RBC1.50,TMR,"14KT""INT-CERTIFIED"" SOLITAIRE RING",VJ-ARDN,1
198496,LGEPC3.00,FLK,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-ARDN,1
156038,SPEA1.50,HRSH,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",VJ-ARDN,1
202079,SOVA1.50,RMY,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",VJ-ARDN,1
197140,LGE+PEA2.00,VSU,"14KT""NOVELLO-COLLECTION""  GIA CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-ARDN,1
166390,R184096,PNT,"14KT""DIANI-COLLECTION""  CZ CNTR SEMI-MOUNT",VJ-ARDN,1
207539,E+PC0.70,SHTL,"14KT""GIA-CERTIFIED""  PC DIAMOND SOLITARE RING",VJ-ARDN,1
184211,LGEEME3.00,FLK,"14KT""NOVELLO-COLLECTION""  IGI CNTR LABGROWN DIAMOND EMERALD BRIDAL RING",VJ-ARDN,1
214179,LGE+OVA4.00,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-ARDN,1
207643,E+RBC1.50,SUN,"14KT""GIA-CERTIFIED""  RBC DIAMOND SOLITARE RING",VJ-ARDN,1
207706,SRBC0.90,SHTL,"14KT""GIA-CERTIFIED""  RBC DIAMOND SOLITARE RING",VJ-ARDN,1
113174,SRBC1.00,MDNI,"14KT""INT-CERTIFIED"" SOLITAIRE RING",VJ-ARDN,1
124076,S+RBC1.00,AMT,EGL CERTIFIED SOLITAIRE RING,VJ-ARDN,1
