Department,Design,Class,Sub-Class,Item  #,Style  #,Vendor Model  #,Vendor  #,Item Desc,Store,Individual Cost Value,On-hand,Individual Selling Value,Image Dir.,AvgWeight,Create Date,Whole Cost
LADYS RING,NATURAL,SOL RING,0.99 LESS,130948,130948,SRBC0.75,SUN,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",MAIN,"2,666.00",1,"26,995.00",,0,9/14/2020,3067.61
LADYS RING,NATURAL,SOL RING,0.75 LESS,207753,207753,S+PC0.70,SHTL,"14KT""GIA-CERTIFIED""  PC DIAMOND SOLITARE RING",VJ-BAKER,782,1,"8,995.00",,0,10/12/2023,1022.16
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,214330,214330,LGE+RBC1.00,ASH,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-SAL,485,1,"7,995.00",,1.5,6/10/2024,908.52
TRAY,,,,199560,LD-WH-1.50 MM,LD-WH-1.50 MM,,NATURAL DIAMOND - WH - 1.50 MM,MAIN,0,66,219,,0,12/27/2022,
TRAY,,,,199590,LD-WH-2 SIEVE SC,LD-WH-2 SIEVE SC,,NATURAL DIAMOND - WH - ( -2 Sieve ) SINGLE CUT,VJ-CULVER,0,11,149,,0,1/3/2023,
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,213650,213650,LGE+RBC1.00,ASH,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-NORTH,472,1,"6,995.00",,1.5,5/16/2024,794.89
LADYS RING,NATURAL,SOL RING,1.00 CARAT,207142,207142,FOVA1.00,DHRM,"14KT""AGI-CERTIFIED""  OVAL DIAMOND SOLITAIRE RING",DBC-STOCK,"1,098.00",1,"12,995.00",,0,9/22/2023,1476.70
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,214014,214014,LGE+PEA1.00,VSU,"14KT""NOVELLO-COLLECTION"" IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-ROSE,421,1,"5,995.00",,0,5/30/2024,681.25
LADYS RING,NOVELLO,SOL RING,2.00 CARAT,213521,213521,LGE+RBC2.00,ASH,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-SERRA,683,1,"7,995.00",,2.8,5/16/2024,908.52
LADYS RING,NOVELLO,SOL RING,0.75 LESS,178701,178701,LGE+PC0.50,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-SOLANO,401,1,"5,995.00",,2.1,12/3/2020,681.25
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,186712,186712,LGE+RBC1.00,FLK,"99120099""14KT""NOVELLO-COLLECTION""  GIA CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-VIS,958,1,"8,995.00",,1.5,8/26/2021,1022.16
LADYS RING,NOVELLO,SOL RING,2.50 CARAT,216963,216963,LGE+EME2.50,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-CHAND,690,1,"9,995.00",,0,8/24/2024,1135.80
LADYS RING,NOVELLO,SOL RING,6.00 CARAT,212481,212481,LGEOVA6.00,DBN,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-RENO,"2,014.00",1,"30,995.00",\212481.jpg,0,3/14/2024,3522.16
LADYS RING,NATURAL,SOL RING,1.50 CARAT,167212,167212,SRBC1.50,YRSH,"14KT""INT-CERTIFIED"" SOLITAIRE RING",VJ-DEER,"2,868.00",1,"31,995.00",,0,7/12/2019,3635.80
LADYS RING,NATURAL,SOL RING,1.00 CARAT,202136,202136,SRBC1.00,RMY,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",VJ-LONG,"1,372.00",1,"16,995.00",,2.5,4/10/2023,1931.25
LADYS RING,NATURAL,SOL RING,0.99 LESS,205450,205450,EPC0.70,RPNT,"14KT""GIA-CERTIFIED""  LADYS RING",VJ-CULVER,"1,665.00",1,"18,499.00",,0,7/20/2023,2102.16
LADYS RING,NATURAL,SOL RING,0.50 LESS,112874,112874,S+RBC0.40,MDNI,"14KT""INT-CERTIFIED"" SOLITAIRE RING",MAIN,456,1,"5,199.00",,0,9/14/2020,590.80
LADYS RING,NATURAL,SOL RING,0.99 LESS,207743,207743,S+PC0.90,SHTL,"14KT""GIA-CERTIFIED""  PC DIAMOND SOLITARE RING",VJ-BAKER,"1,097.00",1,"12,995.00",,0,10/12/2023,1476.70
LADYS RING,NATURAL,SOL RING,0.75 LESS,135143,135143,SPC0.75,SPNL,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",VJ-RENO,990,1,"10,499.00",,0,9/14/2020,1193.07
LADYS RING,NATURAL,SOL RING,1.00 CARAT,167159,167159,S+RBC1.00,YRSH,"14KT""INT-CERTIFIED"" SOLITAIRE RING",VJ-SAL,"2,235.00",1,"26,995.00",,0,9/11/2020,3067.61
LADYS RING,NATURAL,SOL RING,1.00 CARAT,124166,124166,S+RBC1.25,RPNT,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",VJ-VIS,"3,334.00",1,"36,995.00",,0,3/13/2015,4203.98
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,180200,180200,LGE+RBC1.00,FLK,"99120099""14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",MAIN,"1,210.00",1,"10,995.00",,1.5,12/31/2020,1249.43
LADYS RING,NOVELLO,SOL RING,3.00 CARAT,216990,216990,LGE+EME3.00,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-S.ANITA,785,1,"9,995.00",,0,8/24/2024,1135.80
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,214022,214022,LGE+PEA1.50,VSU,"14KT""NOVELLO-COLLECTION"" IGI CERT LABGROWN DIAMOND SOLITAIRE RING",MAIN,512,1,"7,995.00",,0,5/30/2024,908.52
EARRINGS,NOVELLO,,,191411,191411,ER-LGEPC1.70,FLK,"14KT""NOVELLO-COLLECTION""  99350099 AGI CERT LABGROWN SOLITAIRE STUDS",VJ-EAST,"1,383.00",1,"19,995.00",\191411.jpg,0,3/15/2022,2272.16
LADYS RING,NATURAL,SOL RING,0.75 LESS,123677,123677,E+RBC0.75,RPNT,"18KT""GIA-CERTIFIED"" SOLITAIRE RING",VJ-VIS,"2,570.00",1,"28,399.00",,0,1/8/2015,3227.16
LADYS RING,NATURAL,SOL RING,2.00 CARAT,187632,187632,ERBC2.25,DHRM,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",VJ-DEER,"5,073.00",1,"59,995.00",,0,10/19/2021,6817.61
LADYS RING,NATURAL,SOL RING,1.50 CARAT,120719,120719,FRBC1.75,AMT,AGI CERTIFIED SOLITAIRE RING,VJ-SOLANO,"3,100.00",1,"37,995.00",,0,12/17/2022,4317.61
LADYS RING,NATURAL,SOL RING,2.00 CARAT,187262,187262,ERBC2.00,SUN,"14KT""GIA-CERTIFIED""  SOLITAIRE RING",VJ-RENO,"16,987.00",1,"186,995.00",,0,9/21/2021,21249.43
LADYS RING,NOVELLO,SOL RING,1.00 CARAT,188473,188473,LGE+RMB1.00,SPNL,"99120099""14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN SOLITAIRE RING",VJ-SERRA,990,1,"6,995.00",,0,11/20/2021,794.89
PENDANT,NOVELLO,SOL PNDT,1.00 CARAT,173947,173947,LGEPC1.30,FLK,"99100099""14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE PENDANT",DE-SOUTH,"1,008.00",1,"9,995.00",,0,8/17/2020,1135.80
LADYS RING,NATURAL,SOL RING,1.50 CARAT,202108,202108,SPEA1.50,RMY,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",VJ-CULVER,"2,758.00",1,"30,995.00",,0,4/10/2023,3522.16
LADYS RING,NATURAL,SOL RING,0.75 LESS,102184,102184,S+RBC0.70,AMT,SPL 99130099 EGL CERTIFIED DI.SOLITAIRE RING,MAIN,960,1,"10,995.00",\102184.jpg,0,4/17/2012,1249.43
LADYS RING,NOVELLO,SOL RING,1.50 CARAT,175899,175899,LGSRBC1.50,FLK,"99120099""14KT""NOVELLO-COLLECTION""  AGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-CULVER,934,1,"8,995.00",,0,9/4/2020,1022.16
LADYS RING,NOVELLO,SOL RING,8.00 CARAT,212498,212498,LGEPEA8.00,DBN,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-MOD,"2,631.00",1,"39,995.00",,0,3/14/2024,4544.89
LADYS RING,NOVELLO,SOL RING,2.00 CARAT,178682,178682,LGE+OVA2.00,VSU,"14KT""NOVELLO-EVERLASTING""  IGI  LABGROWN DIAMOND SOLITAIRE RING",DBC-GM,"4,500.00",1,"7,995.00",,0,12/3/2020,908.52
TRAY,,,,199564,LD-WH-1.80 MM,LD-WH-1.80 MM,,NATURAL DIAMOND - WH - 1.80 MM,MAIN,0,64,299,,0,12/27/2022,
LADYS RING,NATURAL,SOL RING,1.00 CARAT,161402,161402,S+RBC1.00,YRSH,"14KT""INT-CERTIFIED"" SOLITAIRE RING",VJ-MOD,"2,206.00",1,"24,995.00",,0,11/29/2018,2840.34
LADYS RING,NATURAL,SOL RING,1.00 CARAT,174167,174167,E+RBC1.00,SUN,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",MAIN,"5,778.00",1,"63,995.00",,0,8/21/2020,7272.16
LADYS RING,NATURAL,SOL RING,1.00 CARAT,202143,202143,SRBC1.30,RMY,"14KT""AGI-CERTIFIED""  SOLITAIRE RING",VJ-SOLANO,"1,724.00",1,"20,995.00",,0,4/10/2023,2385.80
LADYS RING,NATURAL,SOL RING,1.50 CARAT,187267,187267,ERBC1.50,SUN,"14KT""GIA-CERTIFIED""  SOLITAIRE RING",MAIN,"7,512.00",1,"82,995.00",,0,9/21/2021,9431.25
LADYS RING,NOVELLO,SOL RING,3.00 CARAT,169209,169209,LGERBC3.00,ORI,"14KT""NOVELLO-COLLECTION""  AGI LABGROWN DIAMOND CERT SOLITAIRE RING",MAIN,"4,850.00",1,"9,995.00",,0,9/17/2019,1135.80
LADYS RING,NOVELLO,SOL RING,7.00 CARAT,212500,212500,LGEPEA10.00,DBN,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",MAIN,"3,271.00",1,"36,995.00",,0,3/14/2024,4203.98
LADYS RING,NATURAL,SOL RING,0.75 LESS,151401,151401,EPC0.50,SPNL,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",MAIN,594.7,1,"6,599.00",,0,5/5/2017,749.89
LADYS RING,NATURAL,SOL RING,3.00 CARAT,179463,179463,SRBC3.00,DHRM,"14KT""AGI-CERTIFIED"" SOLITAIRE RING",VJ-SAL,"5,400.00",1,"79,995.00",,0,12/8/2020,9090.34
LADYS RING,NOVELLO,SOL RING,2.00 CARAT,216662,216662,LGE+RBC2.00,VSU,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-LONG,683,1,"7,995.00",,2.8,8/24/2024,908.52
EARRINGS,OVANIFUSIO,18KT,,208282,208282,EDF13919-050-COMP,GM,"18KT""OVANI-FUSION""  LABGROWN DIAMOND CNTR DOUBLE HALO EARRINGS",VJ-SOLANO,"1,040.00",1,"13,499.00",\208282.jpg,0,10/30/2023,1533.98
LADYS RING,NOVELLO,SOL RING,3.00 CARAT,214001,214001,LGE+OVA3.00,VSU,"14KT""NOVELLO-COLLECTION"" IGI CERT LABGROWN DIAMOND SOLITAIRE RING",VJ-S.ROSA,764,1,"9,995.00",,0,5/30/2024,1135.80
LADYS RING,NATURAL,SOL RING,2.00 CARAT,175685,175685,ERMB2.00,RPNT,"14KT""GIA-CERTIFIED"" SOLITAIRE RING",VJ-RENO,"9,200.00",1,"121,995.00",,0,8/28/2020,13863.07
