Transaction  #,Transaction Date,Transaction Month,Transaction Year,SKU  #,Style  #,Description,Vendor Model,Vendor Name,Qty,Inventory Cost,Sales Amount,Disc Amt,Total,Store,Department,Design,Class,Sub-Class,
HE-10001349,6/29/2026,6,2026,231624S,MV067-SL,"SILVER""LAB-GROWN"" DIAMOND ULTIMATE VALUE CUBAN BRACELET",MV067-SL,VSU,1,444,"1,238.76",0,"1,238.76",VJ-HEND,MENS BRCLT,NOVELLO,UV,CUBAN,
SR-10291292,7/1/2026,7,2026,230212S,MHS00039R-EMERALD,SILVER LABGROWN DIAMOND LOVE-SPELL 1.00CT EMERALD HALO RING,MHS00039R-EMERALD,MHVR,1,51,363.64,0,363.64,VJ-S.ROSA,B,LOVE,EMERALD,BIRTHSTONE,
VV-10292136,6/29/2026,6,2026,228334,1TNDC233825A001,"SS""LINKNLOCK"" BLACK CZ CROSS PENDANT",1TNDC233825A001,KRMA,1,13,79,0,79,VJ-VIS,SS PNDTS,LINKNLOCK,-,CROSS,
VV-10292136,6/29/2026,6,2026,235345S,MPD21500925-A,SILVER LABGROWN DIAMOND ENAMEL ANIMAL SHIELD PENDANT WITH CHAIN,MPD21500925,MHVR,1,304,"5,499.00","4,195.51","1,303.49",VJ-VIS,PENDANT,NOVELLO,,SPORTS,
SO-10290956,6/29/2026,6,2026,187352,11-5982WNC8-G-8,TRITON TUNGSTEN BAND,11-5982WNC8-G,FD,1,150,750,200,550,VJ-SOLANO,TRITON,,,8.5,
VB-10291237,7/1/2026,7,2026,190719,CO-EH-0004-I7814,14KT DOUBLE VISION HOOPS,CO-EH-0004-I7814,HRSH,1,500,"5,499.00","4,601.15",897.85,VJ-BAKER,EARRINGS,,14KT,HOOPS,
VB-10291237,7/1/2026,7,2026,130746WY,CO-R15669-1,14KT DESIGNER BRIDAL RING,CO-R15669,PNT,1,536,"5,999.00","5,049.27",949.73,VJ-BAKER,LADYS RING,,14KT,7,
VM-10293037,7/1/2026,7,2026,233590Y,JMR058328G4WXENS9-5,"10KT""NOVELLO-COLLECTION""  LABGROWN DIAMOND COMPOSITE RING",JMR058328G4WXENS9,KMA,1,"1,108.00","12,995.00","8,995.01","3,999.99",VJ-MOD,LADYS RING,NOVELLO,10KT,COMPOSITE,
ON-10292073,6/29/2026,6,2026,175794,R16226DW,"14KT""OVANI-COLLECTION""  ENHANCER",R16226DW,GS,1,260,"3,199.00","2,601.30",597.7,VJ-ONT,LADYS RING,DIANI,CHEVRON,,
HE-10001350,6/30/2026,6,2026,042429607583,96K117,BULOVA WATCH,96K117,BULOVA,1,688.75,"1,450.00",145,"1,305.00",VJ-HEND,BULOVA,WATCH,MENS,,
VM-10293027,6/30/2026,6,2026,220133Y,JR144613HG4WXN0Q4-11,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND EMERALD BRIDAL RING",JR144613HG4WXN0Q4,KMA,1,615,"11,995.00","9,168.94","2,826.06",VJ-MOD,LADYS RING,NOVELLO,14KT,7,
SL-10294131,6/30/2026,6,2026,215565,REL170051W,"10KT""BELLA.BY.OVANI""  LABGROWN DIAMOND CROSS RING",REL170051W,PNT,1,252,"2,899.00","2,170.19",728.81,DE-SOUTH,LADYS RING,BELLA OVAN,10KT,CROSS,
SL-10294131,6/30/2026,6,2026,7.31903E+11,YA1264034A,GUCCI WATCH,YA1264034A,GUCCI GROUP WATCHES.,1,753,"1,370.00",411,959,DE-SOUTH,GUCCI,WATCH,MENS,,
