Transaction  #,Transaction Date,SKU  #,Style  #,Description,Vendor Model,Vendor Name,Qty,Inventory Cost,Sales Amount,Disc Amt,Total,Store,Department,Design,Class,Sub-Class,Image Dir.,Type,Disc Rate,Unit Price,Vendor  #,Salespersons,Transaction Year,,_1,_2
PA-10001412,7/17/2026,179602Y,MPD10000158-BLACK-1,10KT BLACK AGATE BUDDHA PENDANT,MPD10000158-BLACK,MHVR,1,407,"4,995.00","4,096.12",898.88,VJ-PALM,BP,B STONE,AGATE,BIRTHSTONE,\179602.webp,,,,,"RV2/100% - ",2026,,,
PA-10001412,7/17/2026,ITEM,ITEM,APP/SM2 FIN/IDDEAL 12/0,,,1,0,0,0,0,VJ-PALM,,,,,,,,,,"RV2/100% - ",2026,,,
AR-10291951,7/4/2026,ITEM,ITEM,IDDEAL 6/0 APP AJ,,,0.65,0,0,0,0,VJ-ARDN,,,,,,,,,,"SN/65% - SP/35% - ",2026,,,
AR-10291951,7/4/2026,ITEM,ITEM,IDDEAL 6/0 APP AJ,,,0.35,0,0,0,0,VJ-ARDN,,,,,,,,,,"SN/65% - SP/35% - ",2026,,,
AR-10291951,7/4/2026,229149V,MNC960000151-1,SILVER LABGROWN DIAMOND LINKNLOCK VERMEIL PLATED CUBAN LINK NECKLACE (NO�WARRANTY),MNC960000151,MHVR,0.65,"1,446.00","3,015.35",975.05,"2,040.30",VJ-ARDN,FANCY NECK,LINKNLOCK,-,CUBAN,\229149.webp,,,,,"SN/65% - SP/35% - ",2026,,,
AR-10291951,7/4/2026,229149V,MNC960000151-1,SILVER LABGROWN DIAMOND LINKNLOCK VERMEIL PLATED CUBAN LINK NECKLACE (NO�WARRANTY),MNC960000151,MHVR,0.35,"1,446.00","1,623.65",525.02,"1,098.63",VJ-ARDN,FANCY NECK,LINKNLOCK,-,CUBAN,\229149.webp,,,,,"SN/65% - SP/35% - ",2026,,,
AR-10291951,7/4/2026,231624S,MV067-SL,"SILVER""LAB-GROWN"" DIAMOND ULTIMATE VALUE CUBAN BRACELET",MV067-SL,VSU,0.65,444,649.35,0,649.35,VJ-ARDN,MENS BRCLT,NOVELLO,UV,CUBAN,\231624S.webp,,,,,"SN/65% - SP/35% - ",2026,,,
AR-10291951,7/4/2026,231624S,MV067-SL,"SILVER""LAB-GROWN"" DIAMOND ULTIMATE VALUE CUBAN BRACELET",MV067-SL,VSU,0.35,444,349.65,0,349.65,VJ-ARDN,MENS BRCLT,NOVELLO,UV,CUBAN,\231624S.webp,,,,,"SN/65% - SP/35% - ",2026,,,
VB-10291293,7/19/2026,223063Y,EVEP015VK5W-7,"14KT""UV-NOVELLO"" LABGROWN DIAMOND PC SOLITIARE STUDS",EVEP015VK5W,HRSH,1,86,949,711.75,237.25,VJ-BAKER,EARRINGS,NOVELLO,SOL STUDS,0.50 LESS,\103992.webp,,,,,"SC1/100% - ",2026,,,
VB-10291293,7/19/2026,ITEM,ITEM,APP AJ,,,1,0,0,0,0,VJ-BAKER,,,,,,,,,,"SC1/100% - ",2026,,,
VO-10292248,7/17/2026,ITEM,ITEM,APP/SA,,,1,0,0,0,0,VJ-OAK,,,,,,,,,,"LG/100% - ",2026,,,
VO-10292248,7/17/2026,MLB-LT-3000,MB,"Mulberry Lifetime Care Plan ($2,500-$2,999.99)",,,1,0,442.99,0,442.99,VJ-OAK,,,,,,,,,,"LG/100% - ",2026,,,
VO-10292248,7/17/2026,232316,MV018W-1,"14KT""OVANI-COLLECTION""  IGI CERT LABGROWN DIAMOND EMERALD HALO BRIDAL RING",MV018W,VSU,1,665,"8,499.00","5,524.35","2,974.65",VJ-OAK,LADYS RING,OVANI,14KT,7,\232315.webp,,,,,"LG/100% - ",2026,,,
VO-10292248,7/17/2026,ITEM,ITEM,FIN/IDDEAL/48/0,,,1,0,0,0,0,VJ-OAK,,,,,,,,,,"LG/100% - ",2026,,,
NO-10001222,7/4/2026,237328,EVEPS025VK5W0,"10KT""UV-NOVELLO"" LABGROWN DIAMOND PC SOLITIARE STUDS",EVEPS025VK5W0,HRSH,1,108,"1,149.00",876.56,272.44,VJ-NORTH,EARRINGS,NOVELLO,SOL STUDS,0.50 LESS,\110051.webp,,,,,"JG4/100% - ",2026,,,
NO-10001222,7/4/2026,ITEM,ITEM,APP JG4,,,1,0,0,0,0,VJ-NORTH,,,,,,,,,,"JG4/100% - ",2026,,,
NO-10001222,7/4/2026,ITEM,ITEM,REF : NO-10001220 & NO-1000221,,,1,0,0,0,0,VJ-NORTH,,,,,,,,,,"JG4/100% - ",2026,,,
PA-10001360,7/4/2026,228486-24,1TN0W251657A001,"SS""LINKNLOCK"" BOX CHAIN",1TN0W251657A001,KRMA,1,12,69,0,69,VJ-PALM,SS CHAIN,LINKNLOCK,-,24,\228486-24.webp,,,,,"CL2/100% - ",2026,,,
VF-10292743,7/11/2026,237363-20,ST020-2,"10KT ""ULTIMATE VALUE"" YELLOW-GOLD D/C SINGAPORE CHAIN (NO WARRANTY)",ST020,OX,0.5,91,79.5,0,79.5,VJ-FRE,GOLD CHAIN,GOLD JEWL,UV,20,\237362-18.webp,,,,,"JT1/50% - BB/50% - ",2026,,,
VF-10292743,7/11/2026,237363-20,ST020-2,"10KT ""ULTIMATE VALUE"" YELLOW-GOLD D/C SINGAPORE CHAIN (NO WARRANTY)",ST020,OX,0.5,91,79.5,0,79.5,VJ-FRE,GOLD CHAIN,GOLD JEWL,UV,20,\237362-18.webp,,,,,"JT1/50% - BB/50% - ",2026,,,
VF-10292743,7/11/2026,ITEM,ITEM,KAFENE 3/0  APP/LV/AJ,,,0.5,0,0,0,0,VJ-FRE,,,,,,,,,,"JT1/50% - BB/50% - ",2026,,,
VF-10292743,7/11/2026,ITEM,ITEM,KAFENE 3/0  APP/LV/AJ,,,0.5,0,0,0,0,VJ-FRE,,,,,,,,,,"JT1/50% - BB/50% - ",2026,,,
VF-10292743,7/11/2026,250000,250000,Covered Battery-Embedded (CBE) Recycling Fee,,TCI,0.5,0,7.5,4.43,3.08,VJ-FRE,,WATCH,,,,,,,,"JT1/50% - BB/50% - ",2026,,,
VF-10292743,7/11/2026,250000,250000,Covered Battery-Embedded (CBE) Recycling Fee,,TCI,0.5,0,7.5,4.43,3.08,VJ-FRE,,WATCH,,,,,,,,"JT1/50% - BB/50% - ",2026,,,
VF-10292743,7/11/2026,MLB-LT-200,MB,Mulberry Lifetime Care Plan ($100-$199.99),,,0.5,0,32,0,32,VJ-FRE,,,,,,,,,,"JT1/50% - BB/50% - ",2026,,,
VF-10292743,7/11/2026,MLB-LT-200,MB,Mulberry Lifetime Care Plan ($100-$199.99),,,0.5,0,32,0,32,VJ-FRE,,,,,,,,,,"JT1/50% - BB/50% - ",2026,,,
VF-10292743,7/11/2026,042429590939,96A285,BULOVA OCTAVA WATCH,96A285,BULOVA,0.5,274,287.5,60.57,226.93,VJ-FRE,BULOVA,WATCH,MENS,BATTERY,\96A285.webp,,,,,"JT1/50% - BB/50% - ",2026,,,
VF-10292743,7/11/2026,042429590939,96A285,BULOVA OCTAVA WATCH,96A285,BULOVA,0.5,274,287.5,60.57,226.93,VJ-FRE,BULOVA,WATCH,MENS,BATTERY,\96A285.webp,,,,,"JT1/50% - BB/50% - ",2026,,,
VS-10291977,7/19/2026,238866Y,ARTAF0139,"10KT""BELLA.BY.OVANI""  LABGROWN DIAMOND HOOPS EARRINGS",ARTAF0139,INFN,1,197,"2,599.00","1,916.41",682.59,VJ-SERRA,EARRINGS,BELLA OVAN,10KT,HOOPS,\238866.webp,,,,,"JG1/100% - ",2026,,,
