"Transaction  #","Transaction Date","SKU #","Description","Vendor Model","Vendor Name","Qty","Inventory Cost","Sales Amount","Disc Amt","Total","Store","Department","Design","Class","Sub-Class",""
"AR-10291951","7/4/2026","","","","","","","","","","","","","","",""
"NO-10001222","7/4/2026","","","","","","","","","","","","","","",""
"PA-10001360","7/4/2026","","","","","","","","","","","","","","",""
"LO-10002302","7/3/2026","","","","","","","","","","","","","","",""
"SR-10291292","7/1/2026","","","","","","","","","","","","","","",""
"VI-10292562","7/5/2026","","","","","","","","","","","","","","",""
"VL-10291034","7/4/2026","","","","","","","","","","","","","","",""
"VB-10291237","7/1/2026","","","","","","","","","","","","","","",""
"SA-10292041","7/5/2026","","","","","","","","","","","","","","",""
"AR-10291945","7/2/2026","","","","","","","","","","","","","","",""
"VL-10291024","7/3/2026","","","","","","","","","","","","","","",""
"VS-10291894","7/4/2026","","","","","","","","","","","","","","",""
"CH-10002305","7/4/2026","","","","","","","","","","","","","","",""
"ON-10292096","7/5/2026","","","","","","","","","","","","","","",""
"SL-10294151","7/3/2026","","","","","","","","","","","","","","",""
"VM-10293037","7/1/2026","","","","","","","","","","","","","","",""
"CH-10002300","7/3/2026","","","","","","","","","","","","","","",""
"GM-10292995","7/4/2026","","","","","","","","","","","","","","",""
"RE-10292292","7/2/2026","","","","","","","","","","","","","","",""
"VS-10291902","7/5/2026","","","","","","","","","","","","","","",""
"IN-10291089","7/5/2026","","","","","","","","","","","","","","",""
"PB-10291453","7/3/2026","","","","","","","","","","","","","","",""
"VI-10292550","7/4/2026","","","","","","","","","","","","","","",""
"FA-10291308","7/5/2026","","","","","","","","","","","","","","",""
"VS-10291889","7/3/2026","","","","","","","","","","","","","","",""
"VR-102291063","7/2/2026","","","","","","","","","","","","","","",""
"VE-10293592","7/5/2026","","","","","","","","","","","","","","",""
"IN-10291082","7/3/2026","","","","","","","","","","","","","","",""
"VF-10292708","7/1/2026","","","","","","","","","","","","","","",""
"VF-10292723","7/5/2026","","","","","","","","","","","","","","",""
"ON-10292078","7/1/2026","","","","","","","","","","","","","","",""
"LO-10002308","7/5/2026","","","","","","","","","","","","","","",""
"CH-10002291","7/2/2026","","","","","","","","","","","","","","",""
"VO-10292196","7/3/2026","","","","","","","","","","","","","","",""
"DB-10000009","7/2/2026","","","","","","","","","","","","","","",""
"SA-10292030","7/3/2026","","","","","","","","","","","","","","",""
