Priority,Match Column(s),Match Value / Condition,Whole Cost Formula,Rule Name,Inventory base,Sales fallback,Notes
0,—,—,—,Policy,—,—,"1) Fixed SKU costs win for everyone. 2) Else sheet formula on Tag (inventory) / Sales Amount (sales). 3) Else CSV Whole Cost."
0a,SKU,231611,350,Fixed SKU 231611,Fixed,Fixed,Novello UV halo ring
0b,SKU,231614,350,Fixed SKU 231614,Fixed,Fixed,Novello UV halo pendant
0c,SKU,231616,499,Fixed SKU 231616,Fixed,Fixed,Novello UV halo studs
0d,SKU,231618,275,Fixed SKU 231618,Fixed,Fixed,Novello UV Cuban mens ring (231618S…)
0e,SKU,231620,400,Fixed SKU 231620,Fixed,Fixed,Novello UV tennis bracelet
0f,SKU,231622,215,Fixed SKU 231622,Fixed,Fixed,Novello UV hoops
0g,SKU,231624,675,Fixed SKU 231624,Fixed,Fixed,Novello UV Cuban bracelet
0h,SKU,230768,940,Fixed SKU 230768,Fixed,Fixed,10KT-UV AGI solitaire
0i,SKU,232736,150,Fixed SKU 232736,Fixed,Fixed,Virgin Mary UV pendant
1,Class + Design,Class = UV AND Design = GOLD JEWL/GOLD JEWEL,Tag Price / 1.3,Gold UV,Tag Price,Sales Amount,
2,Design,LINKNLOCK,Tag Price / 2.75,Linknlock,Tag Price,Sales Amount,
3,Design,LOVE,Tag Price / 2.75,Love Spell,Tag Price,Sales Amount,
4,Design,OROVENTI,Tag Price / 2.5,Oroventi,Tag Price,Sales Amount,
5,Design,CLOVER,Tag Price / 4,Clover gold,Tag Price,Sales Amount,
6,Design,AANIKA.V,Tag Price / 8.8,Aanika V,Tag Price,Sales Amount,
7,Design,PLAT JEWL,Tag Price / 4,Platinum Jewelry,Tag Price,Sales Amount,
8,Design,SILVER JEW,Tag Price / 4,Silver Jewelry,Tag Price,Sales Amount,
9,Design,B STONE,Tag Price / 8.8,Birthstone Jewelry by design,Tag Price,Sales Amount,
10,Sub-Class,BIRTHSTONE,Tag Price / 8.8,Birthstone Jewelry by subclass,Tag Price,Sales Amount,
11,Design,GOLD JEWL/GOLD JEWEL/GOLD BANDS,Tag Price / 4,Gold by design,Tag Price,Sales Amount,
12,Department,"GOLD BANDS, GOLD ID, GOLD HOOPS, GOLD PNDTS/GOLF PNDTS, GOLD RINGS",Tag Price / 4,Gold by department,Tag Price,Sales Amount,
13,Department,TUNGS BAND / value containing TUNG,Tag Price * 0.06,Tungsten,Tag Price,Sales Amount,
14,Department,TRITON,Tag Price / 4,Triton,Tag Price,Sales Amount,
15,Department,"BANGLE, EARRINGS, FANCY NECK, GENTS RING, LADYS RING, LADYS BRCL, MENS BRCLT, PENDANT, TRIO",Tag Price / 8.8,Diamond departments / loose stone,Tag Price,Sales Amount,
16,Department,ROLEX (POS),Tag Price / 4,Rolex,Tag Price,Sales Amount,
17,Department,RADO (POS),Tag Price / 1.82 + $20,Rado,Tag Price,Sales Amount,
18,Department,CARTIER (POS),Tag Price / 4,Cartier,Tag Price,Sales Amount,
19,Department,BRIGHT LINK (POS),Tag Price / 4,Bright Link,Tag Price,Sales Amount,
20,Department,MOVADO (POS),Tag Price / 1.82 + $20,Movado,Tag Price,Sales Amount,
21,Department,"MONT WATCH / MONT ACCES / Montblanc (POS)",Tag Price / 1.82 + $20,Mont Blank,Tag Price,Sales Amount,
22,Department,LONGINES (POS),Tag Price x 0.58 + $25,Longines,Tag Price,Sales Amount,
23,Department,BULOVA (POS),Tag Price x 0.48 + $15,Bulova,Tag Price,Sales Amount,
24,Department,MICHAEL KO / MICHAEL KORS (POS),Tag Price / 2 + $10,Michael Kors,Tag Price,Sales Amount,
25,Department,G-SHOCK (POS),Tag Price x 0.4825 + $15,G shock,Tag Price,Sales Amount,
26,Department,TISSOT (POS),Tag Price / 2 + $10,Tissot,Tag Price,Sales Amount,
